category,name,brand,price,perf_gaming,perf_office,perf_content,socket,mem_type,capacity_gb,wattage,power_draw,notes
GPU,Karta zintegrowana (brak GPU),Brak,0,15,40,20,,,,,0,Korzysta z grafiki w procesorze - tylko biuro
SSD,Crucial BX500 480GB SATA,Crucial,149,55,55,55,,,480,,4,Tani dysk SSD na system
SSD,Kingston NV2 1TB NVMe,Kingston,259,70,70,70,,,1000,,5,Szybki dysk NVMe 1TB
SSD,Samsung 980 2TB NVMe,Samsung,549,85,85,88,,,2000,,6,Pojemny i szybki dysk NVMe
SSD,WD Black SN850X 4TB NVMe,WD,1199,92,90,95,,,4000,,7,Bardzo pojemny i szybki dysk
HDD,Seagate Barracuda 2TB,Seagate,229,30,40,45,,,2000,,8,Tani dysk talerzowy na dane
HDD,Toshiba 4TB,Toshiba,389,30,40,50,,,4000,,9,Dużo miejsca na pliki
PSU,SilentiumPC Vero 500W,SilentiumPC,189,60,60,60,,,,500,0,Zasilacz do tańszych zestawów
PSU,be quiet! System Power 650W,be quiet!,279,75,75,75,,,,650,0,Cichy zasilacz 650W
PSU,Corsair RM750e 750W,Corsair,399,85,85,85,,,,750,0,Pewny zasilacz do mocnych zestawów
PSU,Seasonic Focus GX 850W,Seasonic,549,92,92,92,,,,850,0,Wysokiej klasy zasilacz 850W
Case,Modecom Oberon,Modecom,159,50,50,50,,,,,0,Tania obudowa mATX
Case,SilentiumPC Armis AR7,SilentiumPC,259,70,70,70,,,,,0,Obudowa z dobrym przepływem powietrza
Case,NZXT H5 Flow,NZXT,419,88,85,88,,,,,0,Estetyczna i dobrze chłodząca obudowa
Cooler,Chłodzenie BOX (w zestawie),Brak,0,40,50,40,,,,,0,Standardowe chłodzenie z procesorem
Cooler,SilentiumPC Fera 5,SilentiumPC,119,70,70,70,,,,,0,Tani i skuteczny cooler powietrzny
Cooler,be quiet! Dark Rock 4,be quiet!,329,88,88,88,,,,,0,Wydajne i ciche chłodzenie powietrzne
Cooler,Arctic Liquid Freezer II 280,Arctic,499,95,90,95,,,,,0,Chłodzenie wodne AIO do mocnych CPU
